"Country Name","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","People using at least basic drinking water services (% of population)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Smoking prevalence, total (ages 15+) %","Diabetes prevalence (% of population ages 20 to 79)","People with basic handwashing facilities including soap and water (% of population)","Current health expenditure (% of GDP)","Current health expenditure per capita (current US$)","Out-of-pocket expenditure (% of current health expenditure)","Life expectancy at birth, total (years)","Population ages 65 and above (% of total population)"
"Algeria","14.2","14.8","93.55588814365","1.9","1.5477","26.232973162609","6.7","83.740602690362","6.3743218779564","258.49429321289","32.548838853836","76.693","6.5527778819129"
"East Asia & Pacific (excluding high income)","18.694913376021","8.7216494291891","92.160970880399","3.6474003099242","2.6564441604201","31.06274220736","8.4880617736044","","4.9123308924293","344.27367728634","36.101685790189","75.210512105621","9.9312199437951"
"Early-demographic dividend","22.26738726625","24.939654190661","90.559444281807","1.2252813069844","1.9737870997376","29.294207738904","10.090910312009","59.481339818482","5.0203329190304","169.71626811991","38.216231664777","70.483190682522","5.969409324646"
"East Asia & Pacific","17.67303911495","9.0312941163827","92.862111523954","4.4436004873796","3.422085740439","7.1","8.2026083003578","","6.6409731828039","671.07995616523","25.962240016008","76.068336425009","11.178944246512"
"Europe & Central Asia (excluding high income)","23.157422247222","4.99382543951","96.167522046253","6.3575437790349","6.8261993743046","25.2","7.2314159554228","","5.2030691392278","410.18518543619","37.524258418309","73.590781529875","12.010522831192"
"Europe & Central Asia","16.811510128336","5.2663758825349","98.262642842896","5.9250309927928","8.3216941804385","29.13178379355","6.6869693783964","","9.2635723656713","2192.4430769079","18.01821546511","77.908606686428","16.621290895851"
"Ecuador","13","15.1","93.994536544831","1.5","2.5059","5.7","5.5","80.634778446355","8.2574293017387","518.02960205078","39.39850628376","76.8","7.3721993670649"
"Egypt, Arab Rep.","27.7","10.2","99.105730458208","1.6","1.9262","29.3","17.2","89.826969445949","5.2876368165016","105.76845550537","60.082513093948","71.825","5.2763329763288"
"Euro area","11.097770122146","5.4221583535378","99.814509931052","6.1674908124806","9.8056352161136","31.3","6.760326847193","","10.135106632834","3761.33529353","15.504954623258","82.059617279891","20.856287978589"
"Eritrea","23.9","42.9","","0.7","1.4397","4.4","5.1","","2.8700234368443","32.911998748779","59.121525287628","65.941",""
"Spain","9.9","5.1","99.926278308357","3","5.7295","29.066420470151","6.9","","8.8731296360493","2506.46484375","23.565790057182","83.431707317073","19.647822947822"
"Estonia","17","2.8","99.712826835327","5","11.1558","","4.2","","6.4293578267097","1300.4816894531","23.664624989033","78.243902439024","19.991807780044"
"Ethiopia","18.3","49","41.059952134759","0.3","0.7135","20.4","4.3","7.9603897470719","3.5025574266911","25.261953353882","34.408989548683","66.24","3.5166904550043"
"European Union","12.820411260186","5.111679560549","99.81391057077","6.1082828271088","9.3145248800768","22.6","6.6707202061821","","9.8725664785525","3261.4262264351","15.818450187358","81.034409217266","20.463467300206"
"Fragile and conflict affected situations","22.690650430621","50.362259754109","67.649535991877","","1.0393157566993","32.7","6.5989574091733","38.010549023985","4.6983591201884","81.409367173405","61.626965453357","61.495012328939","3.4200956094214"
"Finland","10.2","1.3","100.00000221013","4.4","14.7374","","5.6","","9.2069387435913","4205.7426757812","20.22742331028","81.734146341463","22.140644623904"
"Fiji","30.6","10.1","93.79091928285","2.3","3.3752","","14.7","","3.5007447004318","188.41432189941","15.594248473644","67.341","5.6242295941471"
"France","10.6","6","100.00000150288","6.5","11.4707","","4.8","","11.31289228797","4379.7270507812","9.3842193484306","82.724390243902","20.391370281786"
"Faroe Islands","","","100","","","22.3","4.7","","","","","82.548780487805",""
"Micronesia, Fed. Sts.","26.1","18.5","78.566479016968","3.2","2.0426","28.8","11.9","","12.351549416781","424.80978393555","2.403530664742","67.755","4.1927689671836"
"Gabon","14.4","49.9","85.771003655695","6.3","2.946","3.9","6","","2.7807459235191","204.49224853516","25.156390666962","66.187","3.5447272573287"
"United Kingdom","10.9","7.7","100.00000147558","2.8","8.1723","","3.9","","9.6316941082478","3858.6743164062","15.956822037697","81.256097560976","18.50869563904"
"Georgia","24.9","2.7","98.394439354455","2.6","4.7293","","5.8","","7.6016589999199","293.05358886719","54.761904478073","73.6","15.06105562874"
"Ghana","20.8","47.5","81.453389676073","0.9","4.2001","15.5","2.5","41.047308381957","3.2623704522848","66.749412536621","40.291696786881","63.78","3.0973221781312"
"Gibraltar","","","100","","","","","","","","","",""
"Guinea","22.4","55.7","61.89872307738","0.3","0.1238","","2.4","17.449717114906","4.1230868548155","33.720111846924","56.683546304703","61.185","2.9419055901045"
"Gambia, The","20.4","54.8","77.991566824661","1.1","1.5447","43.4","1.9","7.8762662908399","3.2820712774992","23.272325515747","22.031408548355","61.735","2.5609254310378"
"Guinea-Bissau","20","62.1","66.634414228278","1","0.6851","","2.4","6.4029370885961","7.2358690202236","52.359409332275","72.061204910278","58.003","2.8632604551356"
"Equatorial Guinea","22","53.4","64.665817812601","2.1","0.5024","","6","24.639968206255","3.1070942059159","301.15005493164","76.792013645172","58.402","2.4245088076131"
"Greece","12.4","10.9","100","4.3","3.6331","","4.7","","8.0413900315762","1516.5877685547","34.750208258629","81.787804878049","21.941470126143"
"Grenada","21.4","11.9","95.628650443555","3.7","6.2837","","10.7","","4.7571174800396","497.2360534668","52.413839101791","72.384","9.6774193548387"
"Greenland","","","99.999997467225","","","","2.1","","","","","",""
"Guatemala","14.9","25.1","94.190580738008","0.6","0.0737","24.191592711529","10","76.665503620772","5.8138437569141","259.93502807617","54.134106636047","74.063","4.9289843307773"
"Guam","","","99.6952","","","","18.7","","","","","79.859","10.189845421832"
"Guyana","30.5","20","95.539747679132","1.6","1.0398","2","11.6","77.159414922244","4.9455098807812","230.52728271484","32.470643520355","69.774","6.7115843048881"
"High income","12.316970659854","6.6294492987945","99.52960739013","4.1630393702461","10.906439464071","","7.931788078224","","12.487861039237","5284.1175499453","13.634475160873","80.656104681899","18.264478588415"
"Hong Kong","","","100","","","37","4.5","","","","","84.934146341463","17.498252456848"
"Honduras","14","14","94.827109438246","0.7","0.7357","12.7","7.3","84.169252609325","7.8584253787994","195.93574523926","48.701676726341","75.088","4.8281895240946"
"Heavily indebted poor countries (HIPC)","21.03462901697","52.912109179248","57.567444693143","","0.83245361691461","30.6","5.7293189740334","19.534966967299","5.1696189172612","53.231096793412","46.356092647114","63.13500640117","3.0485391106252"
"Croatia","16.7","2.3","99.586666555294","5.6","8.1224","21.001703608659","5.4","","6.7891336977482","902.1396484375","10.973251610994","78.070731707317","20.860135234598"
"Haiti","26.5","30.3","65.466825926537","0.7","0.6798","19.84056437869","6.7","22.862746263695","8.0355010926723","62.35327911377","40.227901935577","63.66","5.0636695460752"
"Hungary","23","1.8","99.999997488668","7","6.9157","14.756597495471","6.9","","6.8799898028374","981.42303466797","26.894325017929","76.065853658537","19.6944576067"
"IBRD only","19.821331466927","14.156479194521","93.595594423258","2.6087324816687","3.0019435958257","13.985349284788","9.3019768115954","","5.5242134846759","324.5867922639","35.097169931142","73.404867135418","8.7914237704354"
"IDA & IBRD total","20.23223133514","22.987187583219","87.807159091801","2.4605330314587","2.5369090474993","39.4","8.9868596305506","","5.4351546503949","258.48144026705","36.129999034205","71.071726391464","7.4467909584878"
"IDA total","22.125227958898","47.580040059849","70.697012477585","","1.1444962090646","15.28092531591","7.8512178246266","35.553024186745","4.1460646746752","55.07456220092","55.027133615562","64.247800472344","3.5660966762344"
"IDA blend","22.733800269127","50.728742717688","78.52275481475","","1.6184577389988","","10.604741130132","45.88084893477","3.8028298807891","65.195839692902","59.572111350247","62.161750139953","3.4653294133486"
"Indonesia","26.4","20.7","89.344012228447","1.2","2.4149","11.5","6.3","64.203618575485","2.9890544712544","114.97178649902","34.605717658997","71.509","6.0503026824132"
"IDA only","21.812250932985","45.800827663118","66.698367947228","","0.91277773751685","","6.4577221489016","30.152345228564","4.4516153541771","49.635770394418","51.874500725549","65.304091521965","3.6171964675651"
"Isle of Man","","","99.075","1.5842793837593","2.273","24.3","","","","","","",""
"India","23.3","26","92.674642570743","0.7","1.7271","11","10.4","59.549687518252","3.534959629178","69.293098449707","62.401503324509","69.416","6.3779241556898"
"Not classified","","","","","","","","","","","","",""
"Ireland","10.3","5.1","97.394544611561","2.8","16.0996","14.7","3.2","","7.1843832731247","4976.8623046875","12.281116843224","82.256097560976","14.222830745346"
"Iran, Islamic Rep.","14.8","7.9","95.244544879957","1.5","2.6286","25.2","9.6","","8.6596637964249","475.47994995117","41.756564378738","76.479","6.3585220553956"
"Iraq","21.3","16.8","96.533478334141","1.4","2.0448","23.7","8.8","94.575947777247","4.1666302829981","210.31370544434","58.043295145035","70.454","3.3985331335968"
"Iceland","9.1","4.4","99.999999430685","3.2","16.2132","16.8","5.8","","8.3262912929058","6086.3115234375","16.480378806591","82.860975609756","15.192121074474"
"Israel","9.6","10","100.00000146691","3.1","5.7002","","9.7","","7.4074640870094","3144.6262207031","22.250886261463","82.80243902439","12.208674413634"
"Italy","9.5","4.9","99.4427338843","3.4","5.7401","22.1","5","","8.8402591645718","2840.1306152344","23.485806584358","83.346341463415","23.012136648881"
"Jamaica","14.7","11.2","90.648436180687","1.7","0.8068","24","11.3","66.424516552286","5.9884168207645","307.19604492188","17.229695618153","74.368","8.922391673244"
"Jordan","19.2","10.7","98.937222648214","1.4","2.8212","10.7","12.7","","8.1192508339882","340.66180419922","30.427426099777","74.405","3.8934162923565"
"Japan","8.4","12.7","99.010208333333","13.4","12.1531","26.5","5.6","","10.935933142901","4168.986328125","12.847717106342","84.210975609756","28.002049277812"
"Kazakhstan","26.8","4.5","95.627507221289","7","7.2936","17.2","6.1","98.99937404786","3.125361725688","279.64532470703","33.149474859238","73.15","7.6523439409809"
"Kenya","13.4","63.3","58.916333388955","1.4","1.1656","47","3.1","24.651043699219","4.80254329741","76.610321044922","24.0433126688","66.342","2.4238267098437"
"Kyrgyz Republic","24.9","9.6","87.455902899241","4.5","5.9445","","6.1","89.220401680752","6.1858631670475","78.82283782959","56.376630067825","71.4","4.6002945829469"
"Cambodia","21.1","25.6","78.510656931422","0.8","0.6855","23.3","6.4","66.228622095671","5.9188418090344","82.075866699219","60.435873270035","69.57","4.7177691962329"
"Kiribati","28.4","28.7","71.615977118478","1.9","3.8342","22.5","22.5","","10.757596790791","171.41748046875","0.11221959721297","68.116","4.0822747138751"
"St. Kitts and Nevis","","","","2.3","4.2188","13.57759963519","13.3","","5.0368070602417","902.65899658203","47.769916057587","",""
"South Korea","7.8","10.1","99.787654998674","11.5","7.3009","28.9","6.9","","7.6038636267185","2283.0747070312","33.66904258728","82.626829268293","15.060176895374"
"Kuwait","17.4","14.8","100","2","7.4145","33.8","12.2","","5.2913848310709","1529.0776367188","12.615309655666","75.398","2.7638389829723"
"Latin America & Caribbean (excluding high income)","16.133983385555","13.850785386702","96.486482103527","2.1651603231983","4.8414944191284","9.8","9.728371386423","","7.9700838364972","653.92639714392","27.927815919039","75.246076122391","8.5006730775772"
"Lao PDR","27","31.4","82.061896864682","1.5","0.9522","","6.4","49.839156544981","2.5280868634582","62.124633789062","46.18336558342","67.61","4.1639845706543"
"Lebanon","17.9","3.6","92.6","2.9","1.6735","","11.2","","8.1955440342426","719.44348144531","33.218747377396","78.875","7.2732916328324"
"Liberia","17.6","58.5","72.948030949377","0.8","0.5321","14.349074671337","2.4","1.1884804397849","8.1553377211094","56.599029541016","45.506358146668","63.73","3.2856939741652"
"Libya","20.1","8","98.528947368421","3.7","6.5305","15.878178401612","10.2","","","","","72.724","4.4582388779736"
"St. Lucia","18.8","9.7","98.162001417055","1.3","3.1547","","11.6","87.201962128677","4.5458868145943","460.06881713867","44.753098487854","76.057","10.035012856283"
"Latin America & Caribbean","16.010388180793","13.626838997917","96.618772069854","2.1755204481043","5.0610379947819","","9.694271356913","","8.017412178464","685.31702184882","28.237762274722","75.440915486084","8.7019307566598"
"Least developed countries: UN classification","21.628850454114","47.549985678676","64.574043571353","","0.72423436232138","13","6.4420581881815","28.278144819925","4.1130700825618","47.195286495353","52.377421661302","65.039624121296","3.5630978631105"
"Low income","22.330200748714","49.658754565508","56.17788151497","0.8121400491635","0.91258403091828","15.014728841669","6.3932788326396","19.554940119326","5.6962711743614","44.809596538149","51.496148286441","63.496338750408","3.2768419933869"
"Liechtenstein","","","100","","","19.719753259061","9.4","","","","","83.041463414634",""
"Sri Lanka","17.4","7.5","89.416292425835","3.6","2.1803","26.7","10.7","","3.8114205002785","159.48474121094","49.757796525955","76.812","10.838805756947"
"Lower middle income","22.541872970476","31.328054030836","88.31959138731","0.98760337357462","1.7927531141967","24.748186203214","9.5132462249874","57.094910563055","4.0451052179045","80.500917741357","55.707653365167","68.422469086816","5.6391748490442"
"Low & middle income","20.291944310549","23.228303981414","87.683218603235","2.4151576712591","2.4762160711947","28.8","9.0065227457589","","5.3884439006212","249.51367636624","36.509238583624","70.998807594545","7.3402675004278"
"Lesotho","26.6","59.3","68.649937584619","","3.2567","23.5","4.5","2.1171114108911","8.7631583213806","104.55279541016","16.642640531063","53.705","4.9258258252606"
"Late-demographic dividend","17.645944737175","5.8817188510474","94.287249946798","4.2187315242763","4.0082421123668","37","8.8309382887448","","5.691942822225","506.21664587585","32.729638239042","76.22443889602","11.184192456358"
"Lithuania","20.7","3.6","97.542068103766","7.3","9.8472","","3.8","","6.4575642347336","1078.1791992188","32.273811101914","75.680487804878","20.158412713022"
"Luxembourg","10","4.9","99.889603191058","5.1","12.1744","","5","","5.4810743778944","5782.6284179688","10.689541697502","82.29512195122","14.274948881732"
"Latvia","21.9","2.7","98.62618237194","5.8","4.7517","23.4","5","","5.9556618332863","930.35235595703","41.987577080727","74.782926829268","20.336511003318"
"Macau","","","100","","","","4.3","","","","","84.118","11.211735590098"
"St. Martin (French part)","","","","","","24.2","","","","","","79.870731707317",""
"Morocco","12.4","14","86.778512663149","1.1","1.3887","","7","","5.2452001720667","161.01086425781","53.936213254929","76.453","7.3004547709216"
"Monaco","","","100","13.8","20.1609","28.3","2.9","","1.7727022990584","2932.421875","6.8878389894962","",""
"Moldova","24.9","4.2","89.055652652662","6.2","4.9235","19.475427803616","5.7","86.979417484225","7.0129506289959","191.18577575684","43.635484576225","71.808","12.013119107018"
"Madagascar","22.9","46.2","54.403981640779","0.2","0.146","14","4.5","50.540350916181","5.50203807652","24.670837402344","24.685411155224","66.681","3.0440641281587"
"Maldives","13.4","8","99.256200987892","4.3","6.4282","","9.2","95.802862936676","9.0299762785435","1006.9387817383","20.646998286247","78.627","3.6410002391925"
"Middle East & North Africa","18.861208810805","12.053483927511","94.086830858415","1.6284850701465","2.5429362737312","20.168370727499","11.373898186063","","5.6851857741292","458.96085678952","34.258544411585","74.088909256683","5.3083304394287"
"Mexico","15.7","9.8","99.318218890349","1.5","2.3961","","13.5","87.84668421727","5.5165413767099","494.67764282227","41.283276677132","74.992","7.4166606042449"
"Marshall Islands","","","88.486437884573","2.7","3.339","12.3","30.5","82.502167283569","16.402940452099","642.19915771484","12.413543462753","",""
"Middle income","20.150862869705","19.95903142301","91.207401120664","2.3957516035055","2.6525448366282","25.5","9.2438984548233","","5.3846474103008","269.49670596572","36.267045625858","71.854614397749","7.8112414159085"
"North Macedonia","20.3","1.9","93.141462846526","4.4","3.7917","20.3","9.3","","6.0621149837971","328.41979980469","31.905615329742","75.688","14.085422367323"
"Mali","24.6","60.6","78.260829577264","0.1","0.3585","19.437298311986","2.4","52.232083918447","3.7939850240946","31.378105163574","35.11301279068","58.893","2.4951278182439"
"Malta","10.8","6.4","100.00000221355","4.8","9.4833","45.9","8.3","","9.3409992754459","2585.5639648438","34.753787517548","82.448780487805","20.817172753944"
"Myanmar","24.2","23.6","81.774048526166","0.9","0.9993","25.6","3.9","79.287085479675","4.6590723097324","58.043956756592","76.23096704483","66.867","6.0117045995757"
"Middle East & North Africa (excluding high income)","19.574191475723","12.242657311341","93.222937274412","1.5166967169274","2.00868081163","","10.790643619589","","6.6845710566941","262.15307165908","44.237580222634","73.587358214888","5.5021456411771"
"Montenegro","20.6","1.4","97.042050109391","4","5.2294","16.6","9","","","","","76.77","15.389172068849"
"Mongolia","30.2","9.7","83.313115007116","7","3.8938","","4.7","71.17954890613","4.0023010224104","148.7844543457","32.15246796608","69.689","4.1893334515701"
"Northern Mariana Islands","","","100","","","21.6","","","","","","",""
"Mozambique","18.4","65.3","55.693975618687","0.7","0.6847","14.5","3.3","12.226983803799","4.9411982297897","21.071155548096","7.3953345417976","60.163","2.8784461692662"
"Mauritania","18.1","53.4","70.696187645099","","0.9252","21.5","7.1","42.999048887847","4.4031515717506","48.81713104248","49.545481801033","64.704","3.1562438131063"
"Mauritius","22.6","6.5","99.866331354597","3.4","3.5152","21.02824537958","22","","5.7187207043171","599.69976806641","48.865649104118","74.416341463415","11.99872722633"
"Malawi","16.4","59.7","68.831876760924","1.3","0.4386","21.4","4.5","8.703956048183","9.6482314169407","32.259384155273","10.590387135744","63.798","2.6420241790819"
"Malaysia","17.2","17.5","96.695938905428","1.9","3.4676","","16.7","","3.8593981415033","384.06607055664","37.947195768356","75.997","6.9207713092958"
